id,title,all_artists,genre,release_date,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,emotion
1174,Chasing Cars,['Snow Patrol'],irish rock,2006,FALSE,78,0.563,0.592,9,-4.571,1,0.0276,0.209,5.08E-05,0.132,0.136,104.016,4,Sad
1175,Jar of Hearts,['Christina Perri'],dance pop,2011,FALSE,58,0.349,0.348,3,-6.142,1,0.0316,0.726,0,0.12,0.0886,74.541,4,Sad
1176,I'm Not The Only One,['Sam Smith'],dance pop,2014,FALSE,1,0.453,0.496,5,-5.785,1,0.0453,0.554,2.65E-05,0.0772,0.501,80.994,4,Sad
1177,Thinking out Loud,['Ed Sheeran'],pop,2014,FALSE,83,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,4,Sad
1178,How to Save a Life,['The Fray'],neo mellow,2005,FALSE,80,0.64,0.743,10,-4.08,1,0.0379,0.269,0,0.101,0.361,122.035,4,Sad
1179,This Town,['Niall Horan'],dance pop,2016,FALSE,0,0.687,0.409,9,-7.751,1,0.0311,0.71,0,0.126,0.16,111.861,4,Sad
1180,A Thousand Years,['Christina Perri'],dance pop,2011,FALSE,66,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,3,Sad
1181,Riptide,['Vance Joy'],folk-pop,2014,FALSE,81,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4,Sad
1182,Bad Day,['Daniel Powter'],canadian pop,2005,FALSE,75,0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,4,Sad
1183,True Colors - Film Version,"['Anna Kendrick', 'Justin Timberlake']",hollywood,2016,FALSE,60,0.377,0.183,4,-12.679,1,0.037,0.81,8.56E-06,0.121,0.369,71.276,4,Sad
1184,High Hopes,['Kodaline'],irish pop,2013,FALSE,0,0.488,0.487,4,-6.371,1,0.0305,0.577,0,0.193,0.219,77.278,4,Sad
1185,In My Blood,['Shawn Mendes'],canadian pop,2018,FALSE,0,0.628,0.715,5,-7.097,1,0.0541,0.0524,0,0.119,0.429,139.991,4,Sad
1186,Love You Anymore,['Michael Bublé'],adult standards,2018,FALSE,65,0.693,0.257,6,-7.785,1,0.0356,0.869,0,0.11,0.603,90.012,4,Sad
1187,Cry Me a River,['Michael Bublé'],adult standards,2009,FALSE,57,0.458,0.483,10,-7.909,1,0.0366,0.624,5.62E-06,0.0754,0.513,104.823,3,Sad
1188,Yellow,['Coldplay'],permanent wave,2000,FALSE,86,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4,Sad
1189,Every Teardrop Is a Waterfall,['Coldplay'],permanent wave,2011,FALSE,70,0.425,0.732,9,-6.883,1,0.0396,0.00194,0.0103,0.171,0.333,117.98,4,Sad
1190,Hold Back The River,['James Bay'],modern rock,2014,FALSE,0,0.714,0.701,5,-7.381,1,0.0813,0.0703,0,0.0958,0.493,134.917,4,Sad
1191,Beautiful,['Christina Aguilera'],dance pop,2002,FALSE,71,0.456,0.573,5,-3.866,0,0.0275,0.578,3.05E-06,0.114,0.0992,76.19,4,Sad
1192,Waves,['Dean Lewis'],australian pop,2019,FALSE,77,0.518,0.729,11,-7.193,0,0.0452,0.183,0,0.0643,0.343,156.879,4,Sad
1193,Clown,['Emeli Sandé'],dance pop,2012,FALSE,56,0.453,0.233,7,-8.154,1,0.0356,0.919,0.00139,0.109,0.229,129.618,4,Sad
1194,Doesn't Mean Anything,['Alicia Keys'],hip pop,2009,FALSE,54,0.713,0.408,4,-7.104,0,0.0308,0.0365,0.000285,0.0963,0.103,103.968,4,Sad
1195,Rome,['Dermot Kennedy'],folk-pop,2019,FALSE,62,0.485,0.541,8,-5.596,1,0.0481,0.506,0,0.113,0.13,103.006,4,Sad
1196,Power Over Me,['Dermot Kennedy'],folk-pop,2019,FALSE,72,0.319,0.841,9,-4.232,0,0.147,0.0518,0,0.106,0.483,173.868,3,Sad
1197,Don't Watch Me Cry,['Jorja Smith'],pop,2018,FALSE,65,0.559,0.157,1,-10.132,1,0.0414,0.887,0,0.107,0.348,130.877,4,Sad
1198,Lonely,['Noah Cyrus'],alt z,2019,FALSE,0,0.594,0.26,5,-9.062,1,0.0601,0.779,0,0.0924,0.303,84.648,3,Sad
1199,If The World Was Ending,"['JP Saxe', 'Julia Michaels']",alt z,2019,FALSE,52,0.378,0.47,1,-10.095,1,0.197,0.863,0,0.0954,0.602,75.955,4,Sad
1200,America,['Razorlight'],britpop,2006,FALSE,69,0.447,0.568,2,-4.975,1,0.0305,0.295,3.26E-06,0.355,0.149,90.933,4,Sad
1201,Video Games,['Lana Del Rey'],art pop,2012,FALSE,68,0.236,0.249,6,-9.595,0,0.0348,0.811,1.00E-06,0.087,0.181,72.847,5,Sad
1202,Love The Way You Lie (Part II) - Pt. 2,"['Rihanna', 'Eminem']",barbadian pop,2010,TRUE,67,0.469,0.833,10,-4.487,1,0.165,0.3,0,0.056,0.402,166.526,4,Sad
1203,Little Things,['One Direction'],boy band,2012,FALSE,3,0.707,0.222,7,-11.716,1,0.0329,0.788,0,0.205,0.556,110.095,4,Sad
1204,California King Bed,['Rihanna'],barbadian pop,2010,FALSE,64,0.467,0.586,7,-3.942,1,0.0357,0.218,0,0.12,0.318,169.93,4,Sad
1205,Candy,['Paolo Nutini'],british soul,2009,FALSE,64,0.612,0.601,7,-7.809,1,0.0421,0.373,0,0.156,0.368,125.164,4,Sad
1206,All I Want,['Kodaline'],irish pop,2013,FALSE,82,0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,3,Sad
1207,Leaving My Love Behind,['Lewis Capaldi'],pop,2019,FALSE,65,0.409,0.446,2,-4.836,1,0.0317,0.65,0,0.0862,0.135,75.638,4,Sad
1208,"All I Want - From ""High School Musical: The Musical: The Series""",['Olivia Rodrigo'],pop,2019,FALSE,75,0.376,0.43,0,-6.585,0,0.0328,0.0902,0,0.0912,0.129,77.599,3,Sad
1209,This City,['Sam Fischer'],alt z,2019,FALSE,81,0.605,0.377,11,-6.213,1,0.0443,0.733,0,0.0808,0.519,73.877,4,Sad
1210,Better Half of Me,['Tom Walker'],indie anthem-folk,2019,FALSE,60,0.586,0.447,3,-4.699,1,0.0287,0.816,0,0.277,0.441,107.851,4,Sad
1212,Get You The Moon (feat. Snøw),"['Kina', 'Snøw']",sad lo-fi,2018,FALSE,81,0.498,0.235,1,-16.541,0,0.188,0.72,0,0.144,0.0895,118.917,4,Sad
1213,Wing$,['Macklemore & Ryan Lewis'],pop rap,2012,FALSE,0,0.399,0.599,3,-6.987,1,0.204,0.362,0,0.188,0.0911,73.051,4,Sad
